slug,destination_url,click_count
sXC_muO-,https://www.google.com/search?q=k8s&oq=k8s&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDI4MzJqMGo3qAIAsAIB&sourceid=chrome&ie=UTF-8,2
Ps-Rwzjw,https://www.google.com/search?q=advanced+ai+tech&oq=advanced+ai+tech&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQIRiPAjIHCAIQIRiPAtIBCDM5OTFqMGo3qAIAsAIB&sourceid=chrome&ie=UTF-8,1
